"","age_group","cumulative","date","incidence"
"615","35-44",2431,2020-06-17,1
"616","45-54",3473,2020-06-17,2
"617","55-64",2785,2020-06-17,4
"618","65-74",1450,2020-06-17,-2
"619","75-84",1398,2020-06-17,4
"620",">84",923,2020-06-17,0
"621","<5",130,2020-06-18,3
"622","5-14",463,2020-06-18,2
"623","15-24",1638,2020-06-18,8
"624","25-34",2453,2020-06-18,7
"625","35-44",2437,2020-06-18,6
"626","45-54",3481,2020-06-18,8
"627","55-64",2793,2020-06-18,8
"628","65-74",1451,2020-06-18,1
"629","75-84",1401,2020-06-18,3
"630",">84",924,2020-06-18,1
"631","<5",131,2020-06-19,1
"632","5-14",466,2020-06-19,3
"633","15-24",1653,2020-06-19,15
"634","25-34",2462,2020-06-19,9
"635","35-44",2445,2020-06-19,8
"636","45-54",3487,2020-06-19,6
"637","55-64",2802,2020-06-19,9
"638","65-74",1453,2020-06-19,2
"639","75-84",1401,2020-06-19,0
"640",">84",927,2020-06-19,3
"641","<5",131,2020-06-20,0
"642","5-14",469,2020-06-20,3
"643","15-24",1656,2020-06-20,3
"644","25-34",2464,2020-06-20,2
"645","35-44",2446,2020-06-20,1
"646","45-54",3488,2020-06-20,1
"647","55-64",2805,2020-06-20,3
"648","65-74",1455,2020-06-20,2
"649","75-84",1402,2020-06-20,1
"650",">84",928,2020-06-20,1
"651","<5",133,2020-06-21,2
"652","5-14",470,2020-06-21,1
"653","15-24",1662,2020-06-21,6
"654","25-34",2474,2020-06-21,10
"655","35-44",2453,2020-06-21,7
"656","45-54",3494,2020-06-21,6
"657","55-64",2811,2020-06-21,6
"658","65-74",1455,2020-06-21,0
"659","75-84",1404,2020-06-21,2
"660",">84",929,2020-06-21,1
"661","<5",133,2020-06-22,0
"662","5-14",475,2020-06-22,5
"663","15-24",1669,2020-06-22,7
"664","25-34",2478,2020-06-22,4
"665","35-44",2458,2020-06-22,5
"666","45-54",3497,2020-06-22,3
"667","55-64",2816,2020-06-22,5
"668","65-74",1460,2020-06-22,5
"669","75-84",1402,2020-06-22,-2
"670",">84",932,2020-06-22,3
"671","<5",134,2020-06-23,1
"672","5-14",473,2020-06-23,-2
"673","15-24",1676,2020-06-23,7
"674","25-34",2483,2020-06-23,5
"675","35-44",2467,2020-06-23,9
"676","45-54",3499,2020-06-23,2
"677","55-64",2823,2020-06-23,7
"678","65-74",1461,2020-06-23,1
"679","75-84",1402,2020-06-23,0
"680",">84",933,2020-06-23,1
"681","<5",134,2020-06-24,0
"682","5-14",473,2020-06-24,0
"683","15-24",1680,2020-06-24,4
"684","25-34",2490,2020-06-24,7
"685","35-44",2472,2020-06-24,5
"686","45-54",3504,2020-06-24,5
"687","55-64",2830,2020-06-24,7
"688","65-74",1461,2020-06-24,0
"689","75-84",1404,2020-06-24,2
"690",">84",933,2020-06-24,0
"691","<5",137,2020-06-25,3
"692","5-14",476,2020-06-25,3
"693","15-24",1685,2020-06-25,5
"694","25-34",2503,2020-06-25,13
"695","35-44",2481,2020-06-25,9
"696","45-54",3513,2020-06-25,9
"697","55-64",2837,2020-06-25,7
"698","65-74",1462,2020-06-25,1
"699","75-84",1404,2020-06-25,0
"700",">84",932,2020-06-25,-1
"701","<5",138,2020-06-26,1
"702","5-14",483,2020-06-26,7
"703","15-24",1696,2020-06-26,11
"704","25-34",2517,2020-06-26,14
"705","35-44",2494,2020-06-26,13
"706","45-54",3522,2020-06-26,9
"707","55-64",2843,2020-06-26,6
"708","65-74",1462,2020-06-26,0
"709","75-84",1406,2020-06-26,2
"710",">84",933,2020-06-26,1
"711","<5",138,2020-06-27,0
"712","5-14",487,2020-06-27,4
"713","15-24",1703,2020-06-27,7
"714","25-34",2536,2020-06-27,19
"715","35-44",2507,2020-06-27,13
"716","45-54",3529,2020-06-27,7
"717","55-64",2852,2020-06-27,9
"718","65-74",1466,2020-06-27,4
"719","75-84",1408,2020-06-27,2
"720",">84",934,2020-06-27,1
"721","<5",143,2020-06-28,5
"722","5-14",498,2020-06-28,11
"723","15-24",1710,2020-06-28,7
"724","25-34",2552,2020-06-28,16
"725","35-44",2518,2020-06-28,11
"726","45-54",3533,2020-06-28,4
"727","55-64",2855,2020-06-28,3
"728","65-74",1467,2020-06-28,1
"729","75-84",1409,2020-06-28,1
"730",">84",934,2020-06-28,0
"731","<5",147,2020-06-29,4
"732","5-14",500,2020-06-29,2
"733","15-24",1716,2020-06-29,6
"734","25-34",2562,2020-06-29,10
"735","35-44",2526,2020-06-29,8
"736","45-54",3544,2020-06-29,11
"737","55-64",2857,2020-06-29,2
"738","65-74",1470,2020-06-29,3
"739","75-84",1410,2020-06-29,1
"740",">84",933,2020-06-29,-1
"741","<5",151,2020-06-30,4
"742","5-14",508,2020-06-30,8
"743","15-24",1727,2020-06-30,11
"744","25-34",2582,2020-06-30,20
"745","35-44",2552,2020-06-30,26
"746","45-54",3561,2020-06-30,17
"747","55-64",2859,2020-06-30,2
"748","65-74",1473,2020-06-30,3
"749","75-84",1410,2020-06-30,0
"750",">84",934,2020-06-30,1
